pack,episode,shot_index,start_s,end_s,duration_s,keyframe,mean_motion,face_count,inferred_scale,inferred_motion
face_close,11,21,44.16,45.12,0.96,keyframes/11/shot_021_044.16s.jpg,0.3421,1,MCU chest-up,high_cut_or_handheld_motion
face_close,11,29,60.0,61.44,1.44,keyframes/11/shot_029_060.00s.jpg,0.3385,1,MCU chest-up,high_cut_or_handheld_motion
face_close,11,30,61.44,63.84,2.4,keyframes/11/shot_030_061.44s.jpg,0.2274,1,MCU chest-up,high_cut_or_handheld_motion
face_close,11,47,96.0,99.36,3.36,keyframes/11/shot_047_096.00s.jpg,0.2079,1,CU shoulder-up,active_motion_or_reframe
face_close,11,53,111.36,112.32,0.96,keyframes/11/shot_053_111.36s.jpg,0.414,1,MCU chest-up,high_cut_or_handheld_motion
face_close,11,57,116.64,119.52,2.88,keyframes/11/shot_057_116.64s.jpg,0.2043,1,MCU chest-up,active_motion_or_reframe
face_close,11,59,120.48,121.44,0.96,keyframes/11/shot_059_120.48s.jpg,0.4252,1,MCU chest-up,high_cut_or_handheld_motion
face_close,11,63,140.16,142.08,1.92,keyframes/11/shot_063_140.16s.jpg,0.201,2,ECU/CU face-dominant,active_motion_or_reframe
face_close,12,1,0.0,1.92,1.92,keyframes/12/shot_001_000.00s.jpg,0.1994,2,ECU/CU face-dominant,active_motion_or_reframe
face_close,12,22,26.4,27.36,0.96,keyframes/12/shot_022_026.40s.jpg,0.3256,1,MCU chest-up,high_cut_or_handheld_motion
face_close,12,23,27.36,27.84,0.48,keyframes/12/shot_023_027.36s.jpg,0.572,1,MCU chest-up,high_cut_or_handheld_motion
face_close,12,27,31.68,33.6,1.92,keyframes/12/shot_027_031.68s.jpg,0.2146,1,MCU chest-up,active_motion_or_reframe
face_close,12,30,40.32,41.28,0.96,keyframes/12/shot_030_040.32s.jpg,0.3156,2,MCU chest-up,high_cut_or_handheld_motion
face_close,12,31,41.28,43.68,2.4,keyframes/12/shot_031_041.28s.jpg,0.1767,1,MCU chest-up,active_motion_or_reframe
face_close,12,33,44.64,46.56,1.92,keyframes/12/shot_033_044.64s.jpg,0.2386,1,MCU chest-up,high_cut_or_handheld_motion
face_close,12,41,60.0,60.48,0.48,keyframes/12/shot_041_060.00s.jpg,0.6011,1,MCU chest-up,high_cut_or_handheld_motion
face_close,12,43,61.44,62.4,0.96,keyframes/12/shot_043_061.44s.jpg,0.3819,1,MCU chest-up,high_cut_or_handheld_motion
face_close,12,56,76.32,80.16,3.84,keyframes/12/shot_056_076.32s.jpg,0.2388,1,CU shoulder-up,high_cut_or_handheld_motion
face_close,12,59,84.48,85.92,1.44,keyframes/12/shot_059_084.48s.jpg,0.2602,2,ECU/CU face-dominant,high_cut_or_handheld_motion
face_close,12,67,106.08,108.0,1.92,keyframes/12/shot_067_106.08s.jpg,0.2107,2,CU shoulder-up,active_motion_or_reframe
face_close,12,73,119.52,121.44,1.92,keyframes/12/shot_073_119.52s.jpg,0.2982,1,CU shoulder-up,high_cut_or_handheld_motion
face_close,13,5,4.8,6.72,1.92,keyframes/13/shot_005_004.80s.jpg,0.2477,1,MCU chest-up,high_cut_or_handheld_motion
face_close,13,9,11.52,16.32,4.8,keyframes/13/shot_009_011.52s.jpg,0.1605,1,CU shoulder-up,active_motion_or_reframe
face_close,13,11,17.28,18.24,0.96,keyframes/13/shot_011_017.28s.jpg,0.3057,1,CU shoulder-up,high_cut_or_handheld_motion
face_close,13,13,19.68,21.12,1.44,keyframes/13/shot_013_019.68s.jpg,0.2416,1,CU shoulder-up,high_cut_or_handheld_motion
face_close,13,16,25.92,26.88,0.96,keyframes/13/shot_016_025.92s.jpg,0.2948,1,MCU chest-up,high_cut_or_handheld_motion
face_close,13,17,26.88,27.36,0.48,keyframes/13/shot_017_026.88s.jpg,0.5755,1,CU shoulder-up,high_cut_or_handheld_motion
face_close,13,19,28.8,33.12,4.32,keyframes/13/shot_019_028.80s.jpg,0.2046,1,CU shoulder-up,active_motion_or_reframe
face_close,13,21,35.52,36.48,0.96,keyframes/13/shot_021_035.52s.jpg,0.3184,1,CU shoulder-up,high_cut_or_handheld_motion
face_close,13,25,42.72,44.64,1.92,keyframes/13/shot_025_042.72s.jpg,0.3204,1,CU shoulder-up,high_cut_or_handheld_motion
face_close,13,27,47.04,48.48,1.44,keyframes/13/shot_027_047.04s.jpg,0.2393,1,CU shoulder-up,high_cut_or_handheld_motion
face_close,13,29,50.88,53.76,2.88,keyframes/13/shot_029_050.88s.jpg,0.2596,1,CU shoulder-up,high_cut_or_handheld_motion
face_close,13,30,53.76,55.2,1.44,keyframes/13/shot_030_053.76s.jpg,0.3616,1,CU shoulder-up,high_cut_or_handheld_motion
face_close,13,31,55.2,55.68,0.48,keyframes/13/shot_031_055.20s.jpg,0.5949,1,MCU chest-up,high_cut_or_handheld_motion
face_close,13,32,55.68,58.08,2.4,keyframes/13/shot_032_055.68s.jpg,0.2002,1,CU shoulder-up,active_motion_or_reframe
face_close,13,33,58.08,60.96,2.88,keyframes/13/shot_033_058.08s.jpg,0.202,1,MCU chest-up,active_motion_or_reframe
face_close,13,36,64.8,66.24,1.44,keyframes/13/shot_036_064.80s.jpg,0.2572,1,CU shoulder-up,high_cut_or_handheld_motion
face_close,13,38,69.6,72.48,2.88,keyframes/13/shot_038_069.60s.jpg,0.2421,1,MCU chest-up,high_cut_or_handheld_motion
face_close,13,40,74.4,75.36,0.96,keyframes/13/shot_040_074.40s.jpg,0.3733,1,CU shoulder-up,high_cut_or_handheld_motion
face_close,13,43,79.68,81.6,1.92,keyframes/13/shot_043_079.68s.jpg,0.2398,1,CU shoulder-up,high_cut_or_handheld_motion
face_close,13,45,84.0,85.44,1.44,keyframes/13/shot_045_084.00s.jpg,0.3563,1,MCU chest-up,high_cut_or_handheld_motion
face_close,13,47,89.28,93.12,3.84,keyframes/13/shot_047_089.28s.jpg,0.1834,1,MCU chest-up,active_motion_or_reframe
face_close,13,48,93.12,95.04,1.92,keyframes/13/shot_048_093.12s.jpg,0.2303,1,MCU chest-up,high_cut_or_handheld_motion
face_close,13,52,101.28,103.68,2.4,keyframes/13/shot_052_101.28s.jpg,0.1712,1,CU shoulder-up,active_motion_or_reframe
face_close,13,54,104.16,105.12,0.96,keyframes/13/shot_054_104.16s.jpg,0.3539,1,CU shoulder-up,high_cut_or_handheld_motion
face_close,13,58,115.2,116.16,0.96,keyframes/13/shot_058_115.20s.jpg,0.3389,1,CU shoulder-up,high_cut_or_handheld_motion
face_close,13,60,118.08,120.0,1.92,keyframes/13/shot_060_118.08s.jpg,0.2259,1,MCU chest-up,high_cut_or_handheld_motion
face_close,13,61,120.0,123.84,3.84,keyframes/13/shot_061_120.00s.jpg,0.192,1,CU shoulder-up,active_motion_or_reframe
face_close,13,63,125.28,125.76,0.48,keyframes/13/shot_063_125.28s.jpg,0.8077,1,MCU chest-up,high_cut_or_handheld_motion
short_cuts,1,1,0.0,0.96,0.96,keyframes/1/shot_001_000.00s.jpg,0.3162,1,LS/MLS relation,high_cut_or_handheld_motion
short_cuts,1,2,0.96,1.44,0.48,keyframes/1/shot_002_000.96s.jpg,0.6577,0,relation_or_environment_unknown,high_cut_or_handheld_motion
short_cuts,1,4,2.88,3.84,0.96,keyframes/1/shot_004_002.88s.jpg,0.5298,0,relation_or_environment_unknown,high_cut_or_handheld_motion
short_cuts,1,5,3.84,4.32,0.48,keyframes/1/shot_005_003.84s.jpg,0.6724,0,relation_or_environment_unknown,high_cut_or_handheld_motion
short_cuts,1,7,5.76,6.72,0.96,keyframes/1/shot_007_005.76s.jpg,0.4445,0,relation_or_environment_unknown,high_cut_or_handheld_motion
short_cuts,1,8,6.72,7.68,0.96,keyframes/1/shot_008_006.72s.jpg,0.4277,0,relation_or_environment_unknown,high_cut_or_handheld_motion
